Mark,Sex,Pond,2/13/2010,2/20/2010,2/21/2010,3/6/2010,3/7/2010,3/9/2010,3/15/2010,3/19/2010,3/26/2010,4/2/2010,4/15/2010,4/16/2010,4/17/2010,4/19/2010,4/22/2010
500F46375A,M,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
500F464C0F,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500F471C1C,M,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
500F4A554F,M,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500F4C5F56,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500F503E38,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500F534D58,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500F54693E,M,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
500F5A5B4B,M,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
500F5B3B25,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500F5B4B21,M,9,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
500F5B4F3B,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500F5C5D0E,M,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
